ExpUnit,Trt,Variety,BRAND,MG,HERB_Trait,SEED_TREATMENT,Herbicide,Rep,Entry,Run ,Subsample,Rating,Illevo_Inj
1200,101,LS-2139N RR2X,Legacy Seeds,2.1,RR2X,"L-Coat Total, Excalibre",metr,3,1200,2,1,6,
1201,102,LS-2339N RR2X,Legacy Seeds,2.3,RR2X,"L-Coat Total, Excalibre",metr,3,1201,2,1,6,
1288,190,RS096NR2,Renk,0.9,RR2Y,CruiserMaxx,metr,3,1288,2,1,6,
1292,194,RS188NX,Renk,1.8,RR2X,CruiserMaxx,metr,3,1292,2,1,6,
1294,196,RS219NX,Renk,2.1,RR2X,CruiserMaxx,metr,3,1294,2,1,6,
1257,158,S14-B2X Brand,NK ,1.4,RR2X,"Clariva Complete, Mertect",metr,3,1257,2,1,6,
1153,54,S17RY67,Dyna-Gro,1.7,RR2Y,"Equity VIP, Clariva",metr,3,1153,2,1,6,
1261,162,S20-T6 Brand,NK ,2,RR2Y,"Clariva Complete, Mertect",metr,3,1261,2,1,6,
1155,56,S21XT49,Dyna-Gro,2.1,RR2X,"Equity VIP, Clariva",metr,3,1155,2,1,6,
1321,224,SVX 18T05,PROSeeds,0.7,CN,CruiserMaxx,metr,3,1321,2,1,6,
1152,53,SX18716XT,Dyna-Gro,1.6,RR2X,"Equity VIP, Clariva",metr,3,1152,2,1,6,
60,66,HS 16X80,FS HiSOY,1.6,RR2X,"Acceleron, Cue, IleVO",ctrl,1,60,2,2,6,
139,145,C2888RX,LG Seeds,2.8,RR2X,"AgriSheild F/I, ILeVO",ctrl,1,139,2,2,6,
480,44,DSR-1721/R2Y,Dairyland,1.7,RR2Y,"CruiserMaxx, Optimize",ctrl,3,480,2,2,6,
563,127,LS 2880NHP,Legend Seeds,2.8,CN,None,ctrl,3,563,2,2,6,
569,133,C1000RX,LG Seeds,1,RR2X,"AgriSheild F/I, ILeVO",ctrl,3,569,2,2,6,
570,134,C1414RX,LG Seeds,1.4,RR2X,"AgriSheild F/I, ILeVO",ctrl,3,570,2,2,6,
603,167,6097R2 ,NuTech,0.9,RR2Y,SmartCote Supreme,ctrl,3,603,2,2,6,
605,169,7198,NuTech,1.9,GT,SmartCote Supreme,ctrl,3,605,2,2,6,
606,170,7224,NuTech,2.2,GT,SmartCote Supreme,ctrl,3,606,2,2,6,
665,3,G1850RX,AgriGold ,1.8,RR2X,"AgriSheild F/I, ILeVO",metr,1,665,2,2,6,
668,8,G2405RX,AgriGold ,2.4,RR2X,"AgriSheild F/I, ILeVO",metr,1,668,2,2,6,
672,14,AG08X8,Asgrow,0.8,RR2X,Acceleron F/I,metr,1,672,2,2,6,
674,16,AG14X8,Asgrow,1.4,RR2X,Acceleron F/I,metr,1,674,2,2,6,
676,18,AG19X8,Asgrow,1.9,RR2X,Acceleron F/I,metr,1,676,2,2,6,
680,22,AG27X9,Asgrow,2.7,RR2X,Acceleron F/I,metr,1,680,2,2,6,
681,24,BG7110R2Y,BioGene,1.1,RR2Y,Arma,metr,1,681,2,2,6,
684,27,BG8210RR2X,BioGene,2.1,RR2X,Arma,metr,1,684,2,2,6,
691,34,CB27X81,Cornelius,2.7,RR2X,Profit Guard Plus,metr,1,691,2,2,6,
701,44,DSR-1721/R2Y,Dairyland,1.7,RR2Y,"CruiserMaxx, Optimize",metr,1,701,2,2,6,
711,54,S17RY67,Dyna-Gro,1.7,RR2Y,"Equity VIP, Clariva",metr,1,711,2,2,6,
713,56,S21XT49,Dyna-Gro,2.1,RR2X,"Equity VIP, Clariva",metr,1,713,2,2,6,
718,61,F0990N R2X,Federal Hybrids,0.9,RR2X,Maximum ArmourGuard,metr,1,718,2,2,6,
738,81,236LL,Hughes ,2.3,LL,"EverGol Energy, Gaucho, ILeVO",metr,1,738,2,2,6,
757,100,LS-1838N RR2X,Legacy Seeds,1.8,RR2X,"L-Coat Total, Excalibre",metr,1,757,2,2,6,
785,128,LS 28C726N,Legend Seeds,2.8,CN,"YP Pro, Preside, Quickroots",metr,1,785,2,2,6,
792,135,C1428R2,LG Seeds,1.4,RR2Y,"AgriSheild F/I, ILeVO",metr,1,792,2,2,6,
795,138,C2020R2,LG Seeds,2,RR2Y,"AgriSheild F/I, ILeVO",metr,1,795,2,2,6,
803,146,8087R2Y,Munson,0.8,RR2Y,Intego Suite,metr,1,803,2,2,6,
806,149,8153R2Y,Munson,1.5,RR2Y,Intego Suite,metr,1,806,2,2,6,
817,160,S18-H3X Brand,NK ,1.8,RR2X,"Clariva Complete, Mertect",metr,1,817,2,2,6,
819,162,S20-T6 Brand,NK ,2,RR2Y,"Clariva Complete, Mertect",metr,1,819,2,2,6,
821,164,S25-B6X Brand ,NK ,2.5,RR2X,"Clariva Complete, Mertect",metr,1,821,2,2,6,
835,178,ER18090,ProHarvest ,0.9,RR2Y,"CruiserMaxx, Vibrance",metr,1,835,2,2,6,
840,183,1863CR2Y,ProHarvest ,1.8,RR2Y,"CruiserMaxx, Vibrance",metr,1,840,2,2,6,
868,213,2308GT,Tracy,2.3,GT,"Intego Suite, N Force",metr,1,868,2,2,6,
890,11,G2900RX,AgriGold ,2.9,RR2X,"AgriSheild F/I, ILeVO",metr,2,890,2,2,6,
893,14,AG08X8,Asgrow,0.8,RR2X,Acceleron F/I,metr,2,893,2,2,6,
897,18,AG19X8,Asgrow,1.9,RR2X,Acceleron F/I,metr,2,897,2,2,6,
901,22,AG27X9,Asgrow,2.7,RR2X,Acceleron F/I,metr,2,901,2,2,6,
906,28,CB22R88,Cornelius,2.2,RR2Y,Profit Guard Plus,metr,2,906,2,2,6,
911,33,CB26X67,Cornelius,2.6,RR2X,Profit Guard Plus,metr,2,911,2,2,6,
924,46,DSR-1950/R2Y,Dairyland,1.9,RR2Y,"CruiserMaxx, Optimize",metr,2,924,2,2,6,
931,53,SX18716XT,Dyna-Gro,1.6,RR2X,"Equity VIP, Clariva",metr,2,931,2,2,6,
934,56,S21XT49,Dyna-Gro,2.1,RR2X,"Equity VIP, Clariva",metr,2,934,2,2,6,
939,61,F0990N R2X,Federal Hybrids,0.9,RR2X,Maximum ArmourGuard,metr,2,939,2,2,6,
944,66,HS 16X80,FS HiSOY,1.6,RR2X,"Acceleron, Cue, IleVO",metr,2,944,2,2,6,
946,68,HS 21X70,FS HiSOY,2.1,RR2X,"Acceleron, Cue, IleVO",metr,2,946,2,2,6,
952,74,HS 28X70,FS HiSOY,2.8,RR2X,"Acceleron, Cue, IleVO",metr,2,952,2,2,6,
965,87,1154R2X,Jung,1.5,RR2X,Acceleron F/I,metr,2,965,2,2,6,
966,88,1173R2X,Jung,1.7,RR2X,Acceleron F/I,metr,2,966,2,2,6,
968,90,1203R2X,Jung,2,RR2X,Acceleron F/I,metr,2,968,2,2,6,
977,99,LS-1639N RR2X,Legacy Seeds,1.6,RR2X,"L-Coat Total, Excalibre",metr,2,977,2,2,6,
986,108,LS 12X862N,Legend Seeds,1.2,RR2X,"YP Pro, Preside, Quickroots",metr,2,986,2,2,6,
990,112,LS14C953N,Legend Seeds,1.4,CN,"YP Pro, Preside, Quickroots",metr,2,990,2,2,6,
993,115,LS 17C930N,Legend Seeds,1.7,CN,None,metr,2,993,2,2,6,
996,118,LS 20X963N,Legend Seeds,2,RR2X,"YP Pro, Preside, Quickroots",metr,2,996,2,2,6,
1003,125,LS 25X924N,Legend Seeds,2.5,RR2X,"YP Pro, Preside, Quickroots",metr,2,1003,2,2,6,
1010,132,C0850R2,LG Seeds,0.8,RR2Y,"AgriSheild F/I, ILeVO",metr,2,1010,2,2,6,
1013,135,C1428R2,LG Seeds,1.4,RR2Y,"AgriSheild F/I, ILeVO",metr,2,1013,2,2,6,
1014,136,LGS1635RX,LG Seeds,1.6,RR2X,"AgriSheild F/I, ILeVO",metr,2,1014,2,2,6,
1016,138,C2020R2,LG Seeds,2,RR2Y,"AgriSheild F/I, ILeVO",metr,2,1016,2,2,6,
1022,144,LGS2759RX,LG Seeds,2.7,RR2X,"AgriSheild F/I, ILeVO",metr,2,1022,2,2,6,
1024,146,8087R2Y,Munson,0.8,RR2Y,Intego Suite,metr,2,1024,2,2,6,
1027,149,8153R2Y,Munson,1.5,RR2Y,Intego Suite,metr,2,1027,2,2,6,
1031,153,8247R2Y,Munson,2.4,RR2Y,Intego Suite,metr,2,1031,2,2,6,
1040,162,S20-T6 Brand,NK ,2,RR2Y,"Clariva Complete, Mertect",metr,2,1040,2,2,6,
1056,178,ER18090,ProHarvest ,0.9,RR2Y,"CruiserMaxx, Vibrance",metr,2,1056,2,2,6,
1061,183,1863CR2Y,ProHarvest ,1.8,RR2Y,"CruiserMaxx, Vibrance",metr,2,1061,2,2,6,
1094,218,1518N,Viking,1.5,CN,None,metr,2,1094,2,2,6,
1095,219,2018N,Viking,2,CN,CruiserMaxx,metr,2,1095,2,2,6,
1107,3,G1850RX,AgriGold ,1.8,RR2X,"AgriSheild F/I, ILeVO",metr,3,1107,2,2,6,
1111,11,G2900RX,AgriGold ,2.9,RR2X,"AgriSheild F/I, ILeVO",metr,3,1111,2,2,6,
1114,14,AG08X8,Asgrow,0.8,RR2X,Acceleron F/I,metr,3,1114,2,2,6,
1116,16,AG14X8,Asgrow,1.4,RR2X,Acceleron F/I,metr,3,1116,2,2,6,
1125,26,BG7151R2Y,BioGene,1.5,RR2Y,Arma,metr,3,1125,2,2,6,
1127,28,CB22R88,Cornelius,2.2,RR2Y,Profit Guard Plus,metr,3,1127,2,2,6,
1134,35,CB28R58,Cornelius,2.8,RR2Y,Profit Guard Plus,metr,3,1134,2,2,6,
1140,41,DSR-1313/R2Y,Dairyland,1.3,RR2Y,"CruiserMaxx, Optimize",metr,3,1140,2,2,6,
1143,44,DSR-1721/R2Y,Dairyland,1.7,RR2Y,"CruiserMaxx, Optimize",metr,3,1143,2,2,6,
1147,48,DSR-2330/R2Y,Dairyland,2.3,RR2Y,"CruiserMaxx, Optimize",metr,3,1147,2,2,6,
1148,49,DSR-2616/R2Y,Dairyland,2.6,RR2Y,"CruiserMaxx, Optimize",metr,3,1148,2,2,6,
1153,54,S17RY67,Dyna-Gro,1.7,RR2Y,"Equity VIP, Clariva",metr,3,1153,2,2,6,
1154,55,S18XT38,Dyna-Gro,1.8,RR2X,"Equity VIP, Clariva",metr,3,1154,2,2,6,
1156,57,S23XT78,Dyna-Gro,2.3,RR2X,"Equity VIP, Clariva",metr,3,1156,2,2,6,
1166,67,HS 18X70,FS HiSOY,1.8,RR2X,"Acceleron, Cue, IleVO",metr,3,1166,2,2,6,
1177,78,GH2230X Brand,Golden Harvest,2.2,RR2X,"Clariva Complete, Mertect",metr,3,1177,2,2,6,
1179,80,GH2788X Brand,Golden Harvest,2.7,RR2X,"Clariva Complete, Mertect",metr,3,1179,2,2,6,
1190,91,1213R2X,Jung,2.1,RR2X,Acceleron F/I,metr,3,1190,2,2,6,
1193,94,LS-0646 RR2,Legacy Seeds,0.6,RR2Y,"L-Coat Total, Excalibre",metr,3,1193,2,2,6,
1194,95,LS-0738N RR2X,Legacy Seeds,0.7,RR2X,"L-Coat Total, Excalibre",metr,3,1194,2,2,6,
1198,99,LS-1639N RR2X,Legacy Seeds,1.6,RR2X,"L-Coat Total, Excalibre",metr,3,1198,2,2,6,
1217,118,LS 20X963N,Legend Seeds,2,RR2X,"YP Pro, Preside, Quickroots",metr,3,1217,2,2,6,
1229,130,LS 29X952N,Legend Seeds,2.9,RR2X,"YP Pro, Preside, Quickroots",metr,3,1229,2,2,6,
1236,137,C1838RX,LG Seeds,1.8,RR2X,"AgriSheild F/I, ILeVO",metr,3,1236,2,2,6,
1244,145,C2888RX,LG Seeds,2.8,RR2X,"AgriSheild F/I, ILeVO",metr,3,1244,2,2,6,
1251,152,9229RR2X,Munson,2.2,RR2X,Intego Suite,metr,3,1251,2,2,6,
1261,162,S20-T6 Brand,NK ,2,RR2Y,"Clariva Complete, Mertect",metr,3,1261,2,2,6,
1280,181,ER17141,ProHarvest ,1.4,RR2Y,None,metr,3,1280,2,2,6,
1288,190,RS096NR2,Renk,0.9,RR2Y,CruiserMaxx,metr,3,1288,2,2,6,
1308,211,2008GT,Tracy,2,GT,"Intego Suite, N Force",metr,3,1308,2,2,6,
1342,21,AG24X9,Asgrow,2.4,RR2X,Acceleron F/I,sulf,1,1342,2,2,6,
1347,27,BG8210RR2X,BioGene,2.1,RR2X,Arma,sulf,1,1347,2,2,6,
1351,31,CB24X64,Cornelius,2.4,RR2X,Profit Guard Plus,sulf,1,1351,2,2,6,
1368,48,DSR-2330/R2Y,Dairyland,2.3,RR2Y,"CruiserMaxx, Optimize",sulf,1,1368,2,2,6,
1376,56,S21XT49,Dyna-Gro,2.1,RR2X,"Equity VIP, Clariva",sulf,1,1376,2,2,6,
1378,58,SX18723XT,Dyna-Gro,2.3,RR2X,"Equity VIP, Clariva",sulf,1,1378,2,2,6,
1384,64,F154N RR2Y,Federal Hybrids,1.5,RR2Y,Maximum ArmourGuard,sulf,1,1384,2,2,6,
1385,65,F1690N R2X,Federal Hybrids,1.6,RR2X,Maximum ArmourGuard,sulf,1,1385,2,2,6,
1389,69,HS 22X80,FS HiSOY,2.2,RR2X,"Acceleron, Cue, IleVO",sulf,1,1389,2,2,6,
1392,72,HS 25X70,FS HiSOY,2.5,RR2X,"Acceleron, Cue, IleVO",sulf,1,1392,2,2,6,
1395,75,GH1619X Brand,Golden Harvest,1.6,RR2X,"Clariva Complete, Mertect",sulf,1,1395,2,2,6,
1398,78,GH2230X Brand,Golden Harvest,2.2,RR2X,"Clariva Complete, Mertect",sulf,1,1398,2,2,6,
1401,81,236LL,Hughes ,2.3,LL,"EverGol Energy, Gaucho, ILeVO",sulf,1,1401,2,2,6,
1403,83,1071R2X,Jung,0.7,RR2X,Acceleron F/I,sulf,1,1403,2,2,6,
1413,93,1243R2X,Jung,2.4,RR2X,Acceleron F/I,sulf,1,1413,2,2,6,
1418,98,LS-1439N RR2X,Legacy Seeds,1.4,RR2X,"L-Coat Total, Excalibre",sulf,1,1418,2,2,6,
1434,114,LS 16X932N,Legend Seeds,1.6,RR2X,"YP Pro, Preside, Quickroots",sulf,1,1434,2,2,6,
1448,128,LS 28C726N,Legend Seeds,2.8,CN,"YP Pro, Preside, Quickroots",sulf,1,1448,2,2,6,
1452,132,C0850R2,LG Seeds,0.8,RR2Y,"AgriSheild F/I, ILeVO",sulf,1,1452,2,2,6,
1454,134,C1414RX,LG Seeds,1.4,RR2X,"AgriSheild F/I, ILeVO",sulf,1,1454,2,2,6,
1456,136,LGS1635RX,LG Seeds,1.6,RR2X,"AgriSheild F/I, ILeVO",sulf,1,1456,2,2,6,
1460,140,C2255R2,LG Seeds,2.2,RR2Y,"AgriSheild F/I, ILeVO",sulf,1,1460,2,2,6,
1463,143,LGS2680RX,LG Seeds,2.6,RR2X,"AgriSheild F/I, ILeVO",sulf,1,1463,2,2,6,
1464,144,LGS2759RX,LG Seeds,2.7,RR2X,"AgriSheild F/I, ILeVO",sulf,1,1464,2,2,6,
1472,152,9229RR2X,Munson,2.2,RR2X,Intego Suite,sulf,1,1472,2,2,6,
1473,153,8247R2Y,Munson,2.4,RR2Y,Intego Suite,sulf,1,1473,2,2,6,
1484,164,S25-B6X Brand ,NK ,2.5,RR2X,"Clariva Complete, Mertect",sulf,1,1484,2,2,6,
1487,167,6097R2 ,NuTech,0.9,RR2Y,SmartCote Supreme,sulf,1,1487,2,2,6,
1489,169,7198,NuTech,1.9,GT,SmartCote Supreme,sulf,1,1489,2,2,6,
1490,170,7224,NuTech,2.2,GT,SmartCote Supreme,sulf,1,1490,2,2,6,
1491,171,7239X,NuTech,2.3,RR2X,SmartCote Supreme,sulf,1,1491,2,2,6,
1492,172,7253,NuTech,2.5,GT,SmartCote Supreme,sulf,1,1492,2,2,6,
1493,173,O'SOY1901GT,O'Brien,1.9,GT,EclipseUS Trio IM,sulf,1,1493,2,2,6,
1496,176,20B7,Power Plus ,2,GT,"ILeVO, PowerShield",sulf,1,1496,2,2,6,
1497,177,25G8,Power Plus ,2.5,GT,"ILeVO, PowerShield",sulf,1,1497,2,2,6,
1504,184,2152CR2Y,ProHarvest ,2.1,RR2Y,"CruiserMaxx, Vibrance",sulf,1,1504,2,2,6,
1505,186,MN1410,Public,1.4,CN,Arma,sulf,1,1505,2,2,6,
1524,205,SB165,SB&B,1.6,CN,None,sulf,1,1524,2,2,6,
1527,209,19BA23,Stine,1.9,BGT,Stine XP F,sulf,1,1527,2,2,6,
1546,228,SVX 18T10,PROSeeds,1.5,CN,CruiserMaxx,sulf,1,1546,2,2,6,
1564,22,AG27X9,Asgrow,2.7,RR2X,Acceleron F/I,sulf,2,1564,2,2,6,
1568,27,BG8210RR2X,BioGene,2.1,RR2X,Arma,sulf,2,1568,2,2,6,
1569,28,CB22R88,Cornelius,2.2,RR2Y,Profit Guard Plus,sulf,2,1569,2,2,6,
1572,31,CB24X64,Cornelius,2.4,RR2X,Profit Guard Plus,sulf,2,1572,2,2,6,
1574,33,CB26X67,Cornelius,2.6,RR2X,Profit Guard Plus,sulf,2,1574,2,2,6,
1598,57,S23XT78,Dyna-Gro,2.3,RR2X,"Equity VIP, Clariva",sulf,2,1598,2,2,6,
1604,63,F1490N R2X,Federal Hybrids,1.4,RR2X,Maximum ArmourGuard,sulf,2,1604,2,2,6,
1605,64,F154N RR2Y,Federal Hybrids,1.5,RR2Y,Maximum ArmourGuard,sulf,2,1605,2,2,6,
1607,66,HS 16X80,FS HiSOY,1.6,RR2X,"Acceleron, Cue, IleVO",sulf,2,1607,2,2,6,
1608,67,HS 18X70,FS HiSOY,1.8,RR2X,"Acceleron, Cue, IleVO",sulf,2,1608,2,2,6,
1609,68,HS 21X70,FS HiSOY,2.1,RR2X,"Acceleron, Cue, IleVO",sulf,2,1609,2,2,6,
1621,80,GH2788X Brand,Golden Harvest,2.7,RR2X,"Clariva Complete, Mertect",sulf,2,1621,2,2,6,
1626,85,1122R2X,Jung,1.2,RR2X,Acceleron F/I,sulf,2,1626,2,2,6,
1633,92,1223R2X,Jung,2.2,RR2X,Acceleron F/I,sulf,2,1633,2,2,6,
1639,98,LS-1439N RR2X,Legacy Seeds,1.4,RR2X,"L-Coat Total, Excalibre",sulf,2,1639,2,2,6,
1641,100,LS-1838N RR2X,Legacy Seeds,1.8,RR2X,"L-Coat Total, Excalibre",sulf,2,1641,2,2,6,
1648,107,LS 11R760N,Legend Seeds,1.1,RR2Y,"YP Pro, Preside, Quickroots",sulf,2,1648,2,2,6,
1654,207,LS 1527LLN,Legend Seeds,1.5,LL,"YP Pro, Preside, Quickroots",sulf,2,1654,2,2,6,
1657,116,LS 18X860N,Legend Seeds,1.8,RR2X,"YP Pro, Preside, Quickroots",sulf,2,1657,2,2,6,
1672,131,LGS0774RX,LG Seeds,0.7,RR2X,"AgriSheild F/I, ILeVO",sulf,2,1672,2,2,6,
1673,132,C0850R2,LG Seeds,0.8,RR2Y,"AgriSheild F/I, ILeVO",sulf,2,1673,2,2,6,
1674,133,C1000RX,LG Seeds,1,RR2X,"AgriSheild F/I, ILeVO",sulf,2,1674,2,2,6,
1679,138,C2020R2,LG Seeds,2,RR2Y,"AgriSheild F/I, ILeVO",sulf,2,1679,2,2,6,
1684,143,LGS2680RX,LG Seeds,2.6,RR2X,"AgriSheild F/I, ILeVO",sulf,2,1684,2,2,6,
1691,150,9159RR2X,Munson,1.5,RR2X,Intego Suite,sulf,2,1691,2,2,6,
1693,152,9229RR2X,Munson,2.2,RR2X,Intego Suite,sulf,2,1693,2,2,6,
1695,154,9258RR2X,Munson,2.5,RR2X,Intego Suite,sulf,2,1695,2,2,6,
1702,161,S20-J5X Brand,NK ,2,RR2X,"Clariva Complete, Mertect",sulf,2,1702,2,2,6,
1706,165,S27-M8X Brand,NK ,2.8,RR2X,"Clariva Complete, Mertect",sulf,2,1706,2,2,6,
1711,170,7224,NuTech,2.2,GT,SmartCote Supreme,sulf,2,1711,2,2,6,
1712,171,7239X,NuTech,2.3,RR2X,SmartCote Supreme,sulf,2,1712,2,2,6,
1713,172,7253,NuTech,2.5,GT,SmartCote Supreme,sulf,2,1713,2,2,6,
1715,174,O'SOY245NR2Y,O'Brien,2.4,RR2Y,EclipseUS Trio IM,sulf,2,1715,2,2,6,
1716,175,O'SOY2500GT,O'Brien,2.5,GT,EclipseUS Trio IM,sulf,2,1716,2,2,6,
1717,176,20B7,Power Plus ,2,GT,"ILeVO, PowerShield",sulf,2,1717,2,2,6,
1718,177,25G8,Power Plus ,2.5,GT,"ILeVO, PowerShield",sulf,2,1718,2,2,6,
1724,183,1863CR2Y,ProHarvest ,1.8,RR2Y,"CruiserMaxx, Vibrance",sulf,2,1724,2,2,6,
1727,187,Dane,Public,1.5,CN,None,sulf,2,1727,2,2,6,
1731,191,RS149NX,Renk,1.4,RR2X,CruiserMaxx,sulf,2,1731,2,2,6,
1734,194,RS188NX,Renk,1.8,RR2X,CruiserMaxx,sulf,2,1734,2,2,6,
1754,215,2938GT,Tracy,2.9,BGT,"Intego Suite, N Force",sulf,2,1754,2,2,6,
1771,5,G2105RX,AgriGold ,2.1,RR2X,"AgriSheild F/I, ILeVO",sulf,3,1771,2,2,6,
1772,6,G2250RX,AgriGold ,2.2,RR2X,"AgriSheild F/I, ILeVO",sulf,3,1772,2,2,6,
1794,32,CB26R30,Cornelius,2.6,RR2Y,Profit Guard Plus,sulf,3,1794,2,2,6,
1799,37,DSR-0711/R2Y,Dairyland,0.7,RR2Y,"CruiserMaxx, Optimize",sulf,3,1799,2,2,6,
1804,42,DSR-1475/R2Y,Dairyland,1.4,RR2Y,"CruiserMaxx, Optimize",sulf,3,1804,2,2,6,
1808,46,DSR-1950/R2Y,Dairyland,1.9,RR2Y,"CruiserMaxx, Optimize",sulf,3,1808,2,2,6,
1821,59,S24RY87,Dyna-Gro,2.4,RR2Y,"Equity VIP, Clariva",sulf,3,1821,2,2,6,
1824,62,F106N RR2Y,Federal Hybrids,1,RR2Y,Maximum ArmourGuard,sulf,3,1824,2,2,6,
1830,68,HS 21X70,FS HiSOY,2.1,RR2X,"Acceleron, Cue, IleVO",sulf,3,1830,2,2,6,
1831,69,HS 22X80,FS HiSOY,2.2,RR2X,"Acceleron, Cue, IleVO",sulf,3,1831,2,2,6,
1832,70,HS 23X70,FS HiSOY,2.3,RR2X,"Acceleron, Cue, IleVO",sulf,3,1832,2,2,6,
1834,72,HS 25X70,FS HiSOY,2.5,RR2X,"Acceleron, Cue, IleVO",sulf,3,1834,2,2,6,
1836,74,HS 28X70,FS HiSOY,2.8,RR2X,"Acceleron, Cue, IleVO",sulf,3,1836,2,2,6,
1841,79,GH2537X Brand,Golden Harvest,2.5,RR2X,"Clariva Complete, Mertect",sulf,3,1841,2,2,6,
1847,85,1122R2X,Jung,1.2,RR2X,Acceleron F/I,sulf,3,1847,2,2,6,
1855,93,1243R2X,Jung,2.4,RR2X,Acceleron F/I,sulf,3,1855,2,2,6,
1872,110,LS 14X862N,Legend Seeds,1.4,RR2X,"YP Pro, Preside, Quickroots",sulf,3,1872,2,2,6,
1884,122,LS 24C756N,Legend Seeds,2.4,CN,"YP Pro, Preside, Quickroots",sulf,3,1884,2,2,6,
1885,123,LS 24X842N,Legend Seeds,2.4,RR2X,"YP Pro, Preside, Quickroots",sulf,3,1885,2,2,6,
1891,129,LS 28X840N,Legend Seeds,2.8,RR2X,"YP Pro, Preside, Quickroots",sulf,3,1891,2,2,6,
1894,132,C0850R2,LG Seeds,0.8,RR2Y,"AgriSheild F/I, ILeVO",sulf,3,1894,2,2,6,
1895,133,C1000RX,LG Seeds,1,RR2X,"AgriSheild F/I, ILeVO",sulf,3,1895,2,2,6,
1896,134,C1414RX,LG Seeds,1.4,RR2X,"AgriSheild F/I, ILeVO",sulf,3,1896,2,2,6,
1900,138,C2020R2,LG Seeds,2,RR2Y,"AgriSheild F/I, ILeVO",sulf,3,1900,2,2,6,
1902,140,C2255R2,LG Seeds,2.2,RR2Y,"AgriSheild F/I, ILeVO",sulf,3,1902,2,2,6,
1911,149,8153R2Y,Munson,1.5,RR2Y,Intego Suite,sulf,3,1911,2,2,6,
1915,153,8247R2Y,Munson,2.4,RR2Y,Intego Suite,sulf,3,1915,2,2,6,
1922,160,S18-H3X Brand,NK ,1.8,RR2X,"Clariva Complete, Mertect",sulf,3,1922,2,2,6,
1927,165,S27-M8X Brand,NK ,2.8,RR2X,"Clariva Complete, Mertect",sulf,3,1927,2,2,6,
1929,167,6097R2 ,NuTech,0.9,RR2Y,SmartCote Supreme,sulf,3,1929,2,2,6,
1930,168,7144,NuTech,1.4,GT,SmartCote Supreme,sulf,3,1930,2,2,6,
1932,170,7224,NuTech,2.2,GT,SmartCote Supreme,sulf,3,1932,2,2,6,
1933,171,7239X,NuTech,2.3,RR2X,SmartCote Supreme,sulf,3,1933,2,2,6,
1939,177,25G8,Power Plus ,2.5,GT,"ILeVO, PowerShield",sulf,3,1939,2,2,6,
1944,182,1627X,ProHarvest ,1.6,RR2X,None,sulf,3,1944,2,2,6,
1946,184,2152CR2Y,ProHarvest ,2.1,RR2Y,"CruiserMaxx, Vibrance",sulf,3,1946,2,2,6,
1948,187,Dane,Public,1.5,CN,None,sulf,3,1948,2,2,6,
1952,191,RS149NX,Renk,1.4,RR2X,CruiserMaxx,sulf,3,1952,2,2,6,
1958,197,RS239NX,Renk,2.3,RR2X,CruiserMaxx,sulf,3,1958,2,2,6,
1964,203,SB90,SB&B,1.1,CN,None,sulf,3,1964,2,2,6,
563,127,LS 2880NHP,Legend Seeds,2.8,CN,None,ctrl,3,563,2,3,6,
606,170,7224,NuTech,2.2,GT,SmartCote Supreme,ctrl,3,606,2,3,6,
669,11,G2900RX,AgriGold ,2.9,RR2X,"AgriSheild F/I, ILeVO",metr,1,669,2,3,6,
676,18,AG19X8,Asgrow,1.9,RR2X,Acceleron F/I,metr,1,676,2,3,6,
682,25,BG7141R2Y,BioGene,1.4,RR2Y,Arma,metr,1,682,2,3,6,
713,56,S21XT49,Dyna-Gro,2.1,RR2X,"Equity VIP, Clariva",metr,1,713,2,3,6,
753,96,LS-1039N RR2,Legacy Seeds,1,RR2Y,"L-Coat Total, Excalibre",metr,1,753,2,3,6,
788,131,LGS0774RX,LG Seeds,0.7,RR2X,"AgriSheild F/I, ILeVO",metr,1,788,2,3,6,
795,138,C2020R2,LG Seeds,2,RR2Y,"AgriSheild F/I, ILeVO",metr,1,795,2,3,6,
797,140,C2255R2,LG Seeds,2.2,RR2Y,"AgriSheild F/I, ILeVO",metr,1,797,2,3,6,
813,156,S09-R8X Brand,NK ,0.9,RR2X,"Clariva Complete, Mertect",metr,1,813,2,3,6,
840,183,1863CR2Y,ProHarvest ,1.8,RR2Y,"CruiserMaxx, Vibrance",metr,1,840,2,3,6,
893,14,AG08X8,Asgrow,0.8,RR2X,Acceleron F/I,metr,2,893,2,3,6,
904,26,BG7151R2Y,BioGene,1.5,RR2Y,Arma,metr,2,904,2,3,6,
906,28,CB22R88,Cornelius,2.2,RR2Y,Profit Guard Plus,metr,2,906,2,3,6,
918,40,DSR-1120/R2Y,Dairyland,1.1,RR2Y,"CruiserMaxx, Optimize",metr,2,918,2,3,6,
934,56,S21XT49,Dyna-Gro,2.1,RR2X,"Equity VIP, Clariva",metr,2,934,2,3,6,
965,87,1154R2X,Jung,1.5,RR2X,Acceleron F/I,metr,2,965,2,3,6,
967,89,1182R2X,Jung,1.8,RR2X,Acceleron F/I,metr,2,967,2,3,6,
1003,125,LS 25X924N,Legend Seeds,2.5,RR2X,"YP Pro, Preside, Quickroots",metr,2,1003,2,3,6,
1010,132,C0850R2,LG Seeds,0.8,RR2Y,"AgriSheild F/I, ILeVO",metr,2,1010,2,3,6,
